workload,label,category,rows,cols,block_variant,cuda_nodsmem_ms,cuda_nodsmem_p20_ms,cuda_nodsmem_p80_ms,torch_compile_ms,torch_compile_p20_ms,torch_compile_p80_ms,triton_ms,triton_p20_ms,triton_p80_ms,triton_block_size,triton_num_warps,dsmem_ms,dsmem_p20_ms,dsmem_p80_ms,measured_cluster_size,best_baseline,best_baseline_ms,dsmem_vs_torch,dsmem_vs_triton,dsmem_vs_cuda_nodsmem,dsmem_vs_best,dsmem_vs_best_p20,dsmem_vs_best_p80,predicted_cluster_size,predicted_delta_ms,predicted_profitable,measured_profitable_vs_cuda,model_correct
layernorm_backward,LayerNorm backward,normalization,2048,4096,block_smem,0.042136,0.0419774,0.04214956,0.0414412784576416,0.04129567909240723,0.04174086380004882,0.04087744235992432,0.040853567123413086,0.04089843082427978,1024,8,0.0474115,0.047281340000000005,0.04742596,2,triton,0.04087744235992432,0.8740765100796558,0.8621841190412519,0.8887295276462461,0.8621841190412519,0.8614178210290964,0.865001516968,2,-0.010316728390384533,False,False,True
layernorm_backward,LayerNorm backward,normalization,2048,8192,block_smem,0.094137,0.09407657999999999,0.09423012,0.07218719959259033,0.07217612648010253,0.07220761775970458,0.11392959594726562,0.1138563175201416,0.11394323539733887,1024,8,0.082489,0.08232118,0.08249418,2,torch.compile,0.07218719959259033,0.8751130404367895,1.3811489525544691,1.1412067063487252,0.8751130404367895,0.8749238610542287,0.8771450768769906,2,0.03812575313803158,True,True,True
layernorm_backward,LayerNorm backward,normalization,2048,16384,block_smem,0.219436,0.21925119999999998,0.2194512,0.14523679733276368,0.14520614051818848,0.14527116775512694,0.2696169662475586,0.26952306365966794,0.2696533851623535,1024,8,0.157468,0.15739460000000002,0.157561,4,torch.compile,0.14523679733276368,0.9223257889397445,1.7122016298394507,1.3935275738562756,0.9223257889397445,0.921586817284661,0.922974280916416,2,0.08483640669059689,True,True,True
layernorm_backward,LayerNorm backward,normalization,2048,32768,block_read,0.549648,0.5496016,0.550133,0.39776126861572264,0.39751988220214846,0.3984147720336914,0.5389571380615235,0.5389192199707031,0.5391057815551757,1024,8,0.311364,0.3103344,0.3113876,8,torch.compile,0.39776126861572264,1.277479954701644,1.7309552101769103,1.765290785061857,1.277479954701644,1.276607938794443,1.283824068597266,2,0.17284781379572753,True,True,True
layernorm_backward,LayerNorm backward,normalization,2048,65536,block_read,1.11911,1.1179400000000002,1.120006,1.4547039794921874,1.4542550048828125,1.4551200866699219,1.081280975341797,1.0806954956054686,1.0817667999267577,1024,8,0.744592,0.7441702,0.7454700000000001,8,triton,1.081280975341797,1.9536927330567444,1.4521791468909104,1.5029841846272858,1.4521791468909104,1.4496834153023843,1.4536550911696784,4,0.34063894401391226,True,True,True
weighted_var_backward,Weighted variance backward,normalization,4096,4096,block_smem,0.104521,0.1044462,0.1045656,0.09219039916992187,0.09217350578308105,0.09220876693725585,0.1431007957458496,0.14307251358032227,0.14322533988952635,1024,8,0.120008,0.11988520000000001,0.120176,2,torch.compile,0.09219039916992187,0.7682021129418195,1.1924271360730085,0.8709502699820012,0.7682021129418195,0.7669876329972793,0.7691422038521506,2,0.04263009078242638,True,False,False
weighted_var_backward,Weighted variance backward,normalization,4096,8192,block_smem,0.256422,0.2564194,0.256539,0.1809984016418457,0.18097171401977538,0.18104665756225585,0.4252364730834961,0.42518534088134763,0.42533287811279297,1024,8,0.233786,0.233777,0.2338966,2,torch.compile,0.1809984016418457,0.7742054769825639,1.8189133356295764,1.0968235908052664,0.7742054769825639,0.773725287241351,0.7744417011179707,2,0.09396035992874437,True,True,True
weighted_var_backward,Weighted variance backward,normalization,4096,16384,block_smem,0.696836,0.6950514,0.6969096,0.3515926361083984,0.35140499114990237,0.3516897354125977,0.8895744323730469,0.8895432739257813,0.8896557006835937,1024,8,0.487549,0.4874026,0.4875886,8,torch.compile,0.3515926361083984,0.7211431796771164,1.8245846722545773,1.42926352017951,0.7211431796771164,0.7206997685136658,0.7215590056610237,2,0.19646469822138035,True,True,True
weighted_var_backward,Weighted variance backward,normalization,4096,32768,block_read,1.77551,1.77542,1.77841,1.7708409118652344,1.770558563232422,1.7711539611816407,1.772060089111328,1.7719600830078126,1.7722747802734373,1024,8,1.00282,1.002016,1.00401,8,torch.compile,1.7708409118652344,1.7658611833282487,1.7670769321626294,1.7705171416605172,1.7658611833282487,1.763486980440854,1.7675904987361886,2,0.4139271748066524,True,True,True
weighted_var_backward,Weighted variance backward,normalization,4096,65536,block_read,3.57938,3.579176,3.579432,3.3344485473632814,3.3343255615234377,3.334786865234375,3.5350030517578124,3.534732177734375,3.5352796020507813,1024,8,2.48964,2.484312,2.4905820000000003,8,torch.compile,3.3344485473632814,1.3393296008110736,1.4198852250758391,1.437709869700037,1.3393296008110736,1.3387736527138787,1.3423381866828221,4,0.757907305175255,True,True,True
